"SUBJECT","NUMBER","INSTRUCTOR","AP","A","AM","BP","B","BM","CP","C","CM","DP","D","DM","F","P","N","OTHER","W","TOT_NON_W"
"J","361.0","Howe, Bethany Grace","0.0","4.0","7.0","7.0","8.0","3.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","33.0"
"J","361.0","Laufer, Peter David","1.0","2.0","5.0","6.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0"
"J","361.0","Lemke, Jeslyn M","0.0","3.0","3.0","4.0","2.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0"
"J","361.0","McCowan, Karen N","0.0","2.0","6.0","3.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","16.0"
"J","361.0","Milbourn, Mark Todd","0.0","2.0","11.0","25.0","25.0","6.0","4.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","76.0"
"J","361.0","Saez, David ","1.0","5.0","2.0","4.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0"
"J","361.0","Schual, Sierra Sky Lila Barnhart","0.0","9.0","9.0","3.0","7.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","31.0"
"J","361.0","Schwartz, Jennifer Trinneer","3.0","25.0","26.0","12.0","12.0","2.0","2.0","4.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","87.0"
"J","361.0","Shontz, Lori Marie","0.0","12.0","13.0","17.0","28.0","13.0","10.0","4.0","0.0","0.0","3.0","0.0","2.0","0.0","0.0","0.0","2.0","102.0"
"J","361.0","Somaini, Francesco ","0.0","0.0","7.0","4.0","3.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0"
